T,ENC,IMU,Lag,ENC_RAW
1975,0.00,0.01,3.3,275
1981,0.00,0.01,5.4,275
1986,0.00,0.01,5.6,275
1990,0.00,0.01,4.3,275
1993,0.00,0.01,5.7,275
1997,0.00,0.01,6.6,275
2000,0.00,0.01,5.0,275
2004,0.00,0.01,3.4,275
2008,0.00,0.01,5.2,275
2011,0.00,0.01,3.8,275
2015,0.00,0.01,3.7,275
2018,0.00,0.01,3.2,275
2022,0.00,0.01,4.2,275
2025,0.00,0.01,2.8,275
2029,0.00,0.01,3.7,275
2033,0.00,0.01,5.0,275
2036,0.00,0.01,4.6,275
2039,0.00,0.01,4.1,275
2043,0.00,0.01,5.2,275
2047,0.00,0.01,4.3,275
2051,0.00,0.01,3.0,275
2054,0.00,0.01,4.2,275
2058,0.00,0.01,3.0,275
2061,0.00,0.01,6.1,275
2064,0.00,0.01,4.5,275
2068,0.00,0.01,5.6,275
2072,0.00,0.01,4.2,275
2075,0.00,0.01,4.4,275
2079,0.00,0.01,4.0,275
2082,0.00,0.01,5.0,275
2086,0.00,0.01,3.4,275
2090,0.00,0.01,3.9,275
2093,0.00,0.01,5.3,275
2096,0.00,0.01,4.1,275
2100,0.00,0.01,5.2,275
2103,0.00,0.01,2.8,275
2108,0.00,0.01,5.2,275
2111,0.00,0.01,3.8,275
2115,0.00,0.01,4.4,275
2118,0.00,0.01,3.4,275
2122,0.00,0.01,4.4,275
2125,0.00,0.01,5.3,275
2129,0.00,0.01,3.8,275
2132,0.00,0.01,4.8,275
2136,0.00,0.01,3.4,275
2179,0.00,0.01,43.6,275
2182,0.00,0.01,10.0,275
2192,0.00,0.01,11.0,275
2195,0.00,0.01,5.3,275
2199,0.00,0.01,4.0,275
2203,0.00,0.01,5.2,275
2206,0.00,0.01,3.7,275
2210,0.00,0.01,5.3,275
2213,0.00,0.01,3.7,275
2217,0.00,0.01,5.0,275
2221,0.00,0.01,3.4,275
2224,0.00,0.01,4.6,275
2228,0.00,0.01,3.0,275
2231,0.00,0.01,4.2,275
2235,0.00,0.01,5.2,275
2238,0.00,0.01,3.6,275
2242,0.00,0.01,4.6,275
2245,0.00,0.01,3.0,275
2249,0.00,0.01,4.2,275
2252,0.00,0.01,5.2,275
2256,0.00,0.01,3.8,275
2260,0.00,0.01,5.5,275
2263,0.00,0.01,4.3,275
2267,0.00,0.01,5.2,275
2271,0.00,0.01,3.6,275
2274,0.00,0.01,4.8,275
2278,0.00,0.01,3.4,275
2282,0.00,0.01,4.4,275
2285,0.00,0.01,5.5,275
2288,0.00,0.01,4.0,275
2292,0.00,0.01,5.2,275
2296,0.00,0.01,4.6,275
2300,0.00,0.01,5.3,275
2303,0.00,0.01,3.9,275
2307,0.00,0.01,5.0,275
2310,0.00,0.01,3.0,275
2314,0.00,0.01,4.6,275
2318,0.00,0.01,5.7,275
2321,0.00,0.01,4.1,275
2325,0.00,0.01,5.2,275
2328,0.00,0.01,4.0,275
2332,0.00,0.01,5.0,275
2335,0.00,0.01,3.4,275
2339,0.00,0.01,3.9,275
2345,0.00,0.01,8.3,275
2349,0.00,0.01,4.7,275
2353,0.00,0.01,4.1,275
2357,0.00,0.01,5.5,275
2361,0.00,0.01,4.1,275
2365,0.00,0.01,5.5,275
2368,0.00,0.01,4.1,275
2372,0.00,0.01,5.0,275
2375,0.00,0.01,3.6,275
2379,0.00,0.01,4.6,275
2382,0.00,0.01,3.2,275
2386,0.00,0.01,4.2,275
2390,0.00,0.01,5.3,275
2393,0.00,0.01,5.5,275
2396,0.00,0.01,4.7,275
2400,0.00,0.01,5.7,275
2404,0.00,0.01,4.9,275
2408,0.00,0.01,3.5,275
2412,0.00,0.01,5.3,275
